true,pred
WrittenWork,Film
Building,Building
EducationalInstitution,EducationalInstitution
MeanOfTransportation,Company
Animal,Animal
WrittenWork,Film
Building,Building
Plant,Plant
NaturalPlace,NaturalPlace
NaturalPlace,UNKNOWN
WrittenWork,Film
Company,Artist
OfficeHolder,UNKNOWN
WrittenWork,Film
Village,Village
Athlete,Athlete
Film,Film
Company,Company
MeanOfTransportation,Artist
OfficeHolder,Artist
Album,Album
Film,Film
NaturalPlace,NaturalPlace
EducationalInstitution,Company
Film,Film
Company,Company
EducationalInstitution,EducationalInstitution
Animal,Animal
NaturalPlace,NaturalPlace
Village,Village
Artist,Artist
WrittenWork,Company
Athlete,Athlete
Film,Film
Artist,Artist
Artist,UNKNOWN
MeanOfTransportation,UNKNOWN
Village,Village
EducationalInstitution,Film
EducationalInstitution,EducationalInstitution
NaturalPlace,UNKNOWN
Artist,Artist
Plant,Plant
Artist,Artist
Album,Artist
Album,Album
Village,Village
Film,Film
Company,Company
Athlete,Artist
OfficeHolder,Artist
Plant,Plant
Company,Company
Album,Artist
OfficeHolder,UNKNOWN
WrittenWork,UNKNOWN
Company,Company
Village,Village
Plant,Plant
Building,UNKNOWN
WrittenWork,Film
Artist,Artist
Film,Film
OfficeHolder,Artist
Athlete,Athlete
Plant,Plant
EducationalInstitution,UNKNOWN
OfficeHolder,Artist
NaturalPlace,NaturalPlace
MeanOfTransportation,UNKNOWN
WrittenWork,UNKNOWN
OfficeHolder,Artist
Album,Album
Plant,Plant
OfficeHolder,Artist
Plant,Plant
Film,Film
MeanOfTransportation,Artist
Artist,Artist
Athlete,Athlete
Artist,Artist
MeanOfTransportation,Company
Company,Company
MeanOfTransportation,UNKNOWN
Album,Album
WrittenWork,UNKNOWN
Company,Company
Animal,Animal
Athlete,Athlete
Company,UNKNOWN
Animal,Animal
Company,Company
OfficeHolder,UNKNOWN
MeanOfTransportation,Company
MeanOfTransportation,Company
Plant,Plant
Animal,Animal
Company,Company
Building,Building
Artist,Artist
EducationalInstitution,Company
Artist,Artist
Company,Company
EducationalInstitution,UNKNOWN
OfficeHolder,UNKNOWN
Plant,Plant
NaturalPlace,NaturalPlace
NaturalPlace,NaturalPlace
Athlete,Athlete
Village,Village
Company,Company
Animal,Animal
Athlete,Artist
Company,Company
Album,Album
EducationalInstitution,EducationalInstitution
MeanOfTransportation,Company
Film,Film
EducationalInstitution,EducationalInstitution
OfficeHolder,Artist
Artist,Artist
Film,Film
Artist,Artist
WrittenWork,Film
Village,Village
Plant,Plant
Animal,Animal
Building,Building
Athlete,Athlete
OfficeHolder,Artist
MeanOfTransportation,Company
Film,Film
Film,Film
OfficeHolder,Artist
NaturalPlace,NaturalPlace
Company,Company
Company,Company
Company,Company
Village,Village
Film,Film
WrittenWork,Artist
EducationalInstitution,EducationalInstitution
MeanOfTransportation,UNKNOWN
Film,Film
Album,Album
Artist,Artist
EducationalInstitution,Building
NaturalPlace,NaturalPlace
Company,Company
EducationalInstitution,EducationalInstitution
NaturalPlace,NaturalPlace
Company,Company
Building,UNKNOWN
NaturalPlace,NaturalPlace
Artist,UNKNOWN
WrittenWork,Company
NaturalPlace,UNKNOWN
Artist,Artist
Album,Artist
Animal,Animal
MeanOfTransportation,UNKNOWN
Film,Film
Building,EducationalInstitution
Animal,Animal
WrittenWork,UNKNOWN
Plant,Plant
Building,Building
